threshold,avg_det_time,tpr,tnr,acc,bal_acc,f1,method_name,split_name
-0.009947845208807848,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
5.15134452143684e-05,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
8.774282623421007e-05,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.0001000524676847198,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.00010855054703986567,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.0001169634090057676,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.00012333812195118284,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.0001300127450400007,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.00013744029901327018,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.00014431924255254024,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.00015149104584793007,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.0001565189949146303,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.00016251510076791933,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.00016939451233952374,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.00017603982021980688,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.00018327404853733833,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.00019222452472380473,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.00020184819103130915,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.00021223310563730103,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.0002234787530233137,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.0002361694747235963,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.0002503186282485567,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.00026458514533758844,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.00028354626115626586,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.00030661336563978544,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.0003363219311604909,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.0003658161685746453,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.0004123483102294643,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.00047219694947643885,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.0005528699262047915,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.0006828458652698674,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.0008082683422726553,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.0009384651239189011,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.0010794084995239266,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.0012467611297585295,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.0014297020849355162,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.0016211961818020568,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.0019320197013544514,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.0024403907288130695,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.003036235955088412,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.0037599306649547704,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.004863896704659481,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.005309000206957681,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
0.0057513607676733525,0.0,1.0,0.0,0.545816733067729,0.5,0.7061855670103093,model,train
