episode_id,frame_index,value,return
12,2,-0.2890625,0.6580517292022705
12,3,-0.31640625,0.6620278358459473
12,4,-0.337890625,0.666003942489624
12,5,-0.318359375,0.6699801683425903
12,6,-0.2890625,0.6739562749862671
12,7,-0.255859375,0.6779323816299438
12,8,-0.2451171875,0.6819086074829102
12,9,-0.2890625,0.6858847141265869
12,10,-0.310546875,0.6898608207702637
12,11,-0.296875,0.6938369274139404
12,12,-0.26171875,0.6978131532669067
12,13,-0.2294921875,0.7017892599105835
12,14,-0.2001953125,0.7057653665542603
12,15,-0.1748046875,0.7097415924072266
12,16,-0.16015625,0.7137176990509033
12,17,-0.08544921875,0.7176938056945801
12,18,-0.01123046875,0.7216700315475464
12,19,0.07421875,0.7256461381912231
12,20,0.09326171875,0.7296222448348999
12,21,0.10595703125,0.7335983514785767
12,22,0.2001953125,0.737574577331543
12,23,0.306640625,0.7415506839752197
12,24,0.4296875,0.7455267906188965
12,25,0.5234375,0.7495030164718628
12,26,0.546875,0.7534791231155396
12,27,0.59375,0.7574552297592163
12,28,0.625,0.7614314556121826
12,29,0.58984375,0.7654075622558594
12,30,0.546875,0.7693836688995361
12,31,0.4765625,0.7733598947525024
12,32,0.482421875,0.7773360013961792
12,33,0.44140625,0.781312108039856
12,34,0.43359375,0.7852882146835327
12,35,0.5234375,0.789264440536499
12,36,0.609375,0.7932405471801758
12,37,0.6796875,0.7972166538238525
12,38,0.69140625,0.8011928796768188
12,39,0.671875,0.8051689863204956
12,40,0.66015625,0.8091450929641724
12,41,0.703125,0.8131213188171387
12,42,0.73828125,0.8170974254608154
12,43,0.75390625,0.8210735321044922
12,44,0.765625,0.8250497579574585
12,45,0.78125,0.8290258646011353
12,46,0.81640625,0.833001971244812
12,47,0.83203125,0.8369780778884888
12,48,0.84375,0.8409543037414551
12,49,0.859375,0.8449304103851318
12,50,0.84765625,0.8489065170288086
12,51,0.84375,0.8528827428817749
12,52,0.859375,0.8568588495254517
12,53,0.859375,0.8608349561691284
12,54,0.86328125,0.8648111820220947
12,55,0.9140625,0.8687872886657715
12,56,0.92578125,0.8727633953094482
12,57,0.9453125,0.8767396211624146
12,58,0.94921875,0.8807157278060913
12,59,0.92578125,0.8846918344497681
12,60,0.9453125,0.8886679410934448
12,61,0.953125,0.8926441669464111
12,62,0.96484375,0.8966202735900879
12,63,0.97265625,0.9005963802337646
12,64,0.98046875,0.904572606086731
12,65,0.97265625,0.9085487127304077
12,66,0.984375,0.9125248193740845
12,67,0.9921875,0.9165010452270508
12,68,0.98828125,0.9204771518707275
12,69,1.0,0.9244532585144043
12,70,0.98828125,0.928429365158081
12,71,0.9609375,0.9324055910110474
12,72,0.97265625,0.9363816976547241
12,73,0.99609375,0.9403578042984009
12,74,1.0,0.9443340301513672
12,75,0.9921875,0.948310136795044
12,76,1.015625,0.9522862434387207
12,77,1.015625,0.956262469291687
12,78,1.0390625,0.9602385759353638
12,79,1.0390625,0.9642146825790405
12,80,1.0625,0.9681909084320068
12,81,1.0703125,0.9721670150756836
12,82,1.09375,0.9761431217193604
12,83,1.1015625,0.9801192283630371
12,84,1.1171875,0.9840954542160034
12,85,1.046875,0.9880715608596802
12,86,0.99609375,0.9920476675033569
12,87,0.984375,0.9960238933563232
14,2,0.6484375,0.6779323816299438
14,3,0.66796875,0.6819086074829102
14,4,0.66796875,0.6858847141265869
14,5,0.6640625,0.6898608207702637
14,6,0.65625,0.6938369274139404
14,7,0.65625,0.6978131532669067
14,8,0.64453125,0.7017892599105835
14,9,0.64453125,0.7057653665542603
14,10,0.63671875,0.7097415924072266
14,11,0.64453125,0.7137176990509033
14,12,0.62890625,0.7176938056945801
14,13,0.625,0.7216700315475464
14,14,0.65625,0.7256461381912231
14,15,0.69140625,0.7296222448348999
14,16,0.74609375,0.7335983514785767
14,17,0.75390625,0.737574577331543
14,18,0.7578125,0.7415506839752197
14,19,0.7421875,0.7455267906188965
14,20,0.75,0.7495030164718628
14,21,0.74609375,0.7534791231155396
14,22,0.75,0.7574552297592163
14,23,0.73046875,0.7614314556121826
14,24,0.71484375,0.7654075622558594
14,25,0.71484375,0.7693836688995361
14,26,0.71484375,0.7733598947525024
14,27,0.7109375,0.7773360013961792
14,28,0.71875,0.781312108039856
14,29,0.71875,0.7852882146835327
14,30,0.75,0.789264440536499
14,31,0.76171875,0.7932405471801758
14,32,0.78125,0.7972166538238525
14,33,0.80859375,0.8011928796768188
14,34,0.8046875,0.8051689863204956
14,35,0.796875,0.8091450929641724
14,36,0.7734375,0.8131213188171387
14,37,0.77734375,0.8170974254608154
14,38,0.7734375,0.8210735321044922
14,39,0.77734375,0.8250497579574585
14,40,0.79296875,0.8290258646011353
14,41,0.8046875,0.833001971244812
14,42,0.8046875,0.8369780778884888
14,43,0.796875,0.8409543037414551
14,44,0.78515625,0.8449304103851318
14,45,0.79296875,0.8489065170288086
14,46,0.7890625,0.8528827428817749
14,47,0.8125,0.8568588495254517
14,48,0.84765625,0.8608349561691284
14,49,0.89453125,0.8648111820220947
14,50,0.91796875,0.8687872886657715
14,51,0.91015625,0.8727633953094482
14,52,0.92578125,0.8767396211624146
14,53,0.91796875,0.8807157278060913
14,54,0.921875,0.8846918344497681
14,55,0.90625,0.8886679410934448
14,56,0.90234375,0.8926441669464111
14,57,0.8671875,0.8966202735900879
14,58,0.85546875,0.9005963802337646
14,59,0.85546875,0.904572606086731
14,60,0.89453125,0.9085487127304077
14,61,0.90234375,0.9125248193740845
14,62,0.890625,0.9165010452270508
14,63,0.8984375,0.9204771518707275
14,64,0.92578125,0.9244532585144043
14,65,0.91796875,0.928429365158081
14,66,0.90234375,0.9324055910110474
14,67,0.88671875,0.9363816976547241
14,68,0.90234375,0.9403578042984009
14,69,0.92578125,0.9443340301513672
14,70,0.90234375,0.948310136795044
14,71,0.90625,0.9522862434387207
14,72,0.90234375,0.956262469291687
14,73,0.91015625,0.9602385759353638
14,74,0.9296875,0.9642146825790405
14,75,0.9453125,0.9681909084320068
14,76,0.984375,0.9721670150756836
14,77,1.0,0.9761431217193604
14,78,1.0,0.9801192283630371
14,79,0.98828125,0.9840954542160034
14,80,0.953125,0.9880715608596802
14,81,0.93359375,0.9920476675033569
14,82,0.9296875,0.9960238933563232
45,2,0.5546875,0.6500993967056274
45,3,0.55859375,0.6540755033493042
45,4,0.5625,0.6580517292022705
45,5,0.58984375,0.6620278358459473
45,6,0.59765625,0.666003942489624
45,7,0.6171875,0.6699801683425903
45,8,0.6171875,0.6739562749862671
45,9,0.6328125,0.6779323816299438
45,10,0.6328125,0.6819086074829102
45,11,0.625,0.6858847141265869
45,12,0.640625,0.6898608207702637
45,13,0.640625,0.6938369274139404
45,14,0.6328125,0.6978131532669067
45,15,0.625,0.7017892599105835
45,16,0.6328125,0.7057653665542603
45,17,0.6484375,0.7097415924072266
45,18,0.64453125,0.7137176990509033
45,19,0.66015625,0.7176938056945801
45,20,0.65625,0.7216700315475464
45,21,0.65625,0.7256461381912231
45,22,0.65234375,0.7296222448348999
45,23,0.640625,0.7335983514785767
45,24,0.640625,0.737574577331543
45,25,0.6484375,0.7415506839752197
45,26,0.65234375,0.7455267906188965
45,27,0.65234375,0.7495030164718628
45,28,0.65625,0.7534791231155396
45,29,0.66015625,0.7574552297592163
45,30,0.6640625,0.7614314556121826
45,31,0.66796875,0.7654075622558594
45,32,0.6875,0.7693836688995361
45,33,0.7265625,0.7733598947525024
45,34,0.72265625,0.7773360013961792
45,35,0.72265625,0.781312108039856
45,36,0.7265625,0.7852882146835327
45,37,0.7578125,0.789264440536499
45,38,0.76953125,0.7932405471801758
45,39,0.7265625,0.7972166538238525
45,40,0.77734375,0.8011928796768188
45,41,0.79296875,0.8051689863204956
45,42,0.8125,0.8091450929641724
45,43,0.80859375,0.8131213188171387
45,44,0.80078125,0.8170974254608154
45,45,0.78515625,0.8210735321044922
45,46,0.79296875,0.8250497579574585
45,47,0.80078125,0.8290258646011353
45,48,0.77734375,0.833001971244812
45,49,0.7890625,0.8369780778884888
45,50,0.828125,0.8409543037414551
45,51,0.7890625,0.8449304103851318
45,52,0.8359375,0.8489065170288086
45,53,0.8125,0.8528827428817749
45,54,0.7578125,0.8568588495254517
45,55,0.7578125,0.8608349561691284
45,56,0.80078125,0.8648111820220947
45,57,0.921875,0.8687872886657715
45,58,0.91796875,0.8727633953094482
45,59,0.921875,0.8767396211624146
45,60,0.9296875,0.8807157278060913
45,61,0.9375,0.8846918344497681
45,62,0.95703125,0.8886679410934448
45,63,0.92578125,0.8926441669464111
45,64,0.9296875,0.8966202735900879
45,65,0.91015625,0.9005963802337646
45,66,0.91015625,0.904572606086731
45,67,0.91796875,0.9085487127304077
45,68,0.9375,0.9125248193740845
45,69,0.9375,0.9165010452270508
45,70,0.9453125,0.9204771518707275
45,71,0.97265625,0.9244532585144043
45,72,0.95703125,0.928429365158081
45,73,1.0,0.9324055910110474
45,74,0.98046875,0.9363816976547241
45,75,0.97265625,0.9403578042984009
45,76,0.9765625,0.9443340301513672
45,77,0.96875,0.948310136795044
45,78,0.97265625,0.9522862434387207
45,79,0.984375,0.956262469291687
45,80,0.98046875,0.9602385759353638
45,81,0.953125,0.9642146825790405
45,82,0.9609375,0.9681909084320068
45,83,0.96484375,0.9721670150756836
45,84,0.97265625,0.9761431217193604
45,85,0.96484375,0.9801192283630371
45,86,0.953125,0.9840954542160034
45,87,0.9609375,0.9880715608596802
45,88,0.9921875,0.9920476675033569
45,89,0.984375,0.9960238933563232
50,2,0.6015625,0.6779323816299438
50,3,0.60546875,0.6819086074829102
50,4,0.59765625,0.6858847141265869
50,5,0.60546875,0.6898608207702637
50,6,0.61328125,0.6938369274139404
50,7,0.609375,0.6978131532669067
50,8,0.58984375,0.7017892599105835
50,9,0.60546875,0.7057653665542603
