threshold,avg_det_time,tpr,tnr,acc,bal_acc,f1,method_name,split_name
-0.4999040551655435,0.0,1.0,0.0,0.536,0.5,0.6979166666666666,model,train
2.14142869481293e-06,0.0,1.0,0.0,0.536,0.5,0.6979166666666666,model,train
0.0023047733386393817,0.0011940298507462687,1.0,0.0,0.536,0.5,0.6979166666666666,model,train
0.006174558710055076,0.0011940298507462687,1.0,0.0,0.536,0.5,0.6979166666666666,model,train
0.010087147967983061,0.0011940298507462687,1.0,0.0,0.536,0.5,0.6979166666666666,model,train
0.01094985405239074,0.0011940298507462687,1.0,0.0,0.536,0.5,0.6979166666666666,model,train
0.015230820066210614,0.0011940298507462687,1.0,0.0,0.536,0.5,0.6979166666666666,model,train
0.016760157725648872,0.0011940298507462687,1.0,0.0,0.536,0.5,0.6979166666666666,model,train
0.017193618690175994,0.0011940298507462687,1.0,0.0,0.536,0.5,0.6979166666666666,model,train
0.018519817876196182,0.0011940298507462687,1.0,0.0,0.536,0.5,0.6979166666666666,model,train
0.01951221176009077,0.0011940298507462687,1.0,0.0,0.536,0.5,0.6979166666666666,model,train
0.019681731591331464,0.0011940298507462687,1.0,0.0,0.536,0.5,0.6979166666666666,model,train
0.019891312603992684,0.0011940298507462687,1.0,0.0,0.536,0.5,0.6979166666666666,model,train
0.020339999290821087,0.0011940298507462687,1.0,0.0,0.536,0.5,0.6979166666666666,model,train
0.020957903185838234,0.0011940298507462687,1.0,0.0,0.536,0.5,0.6979166666666666,model,train
0.021600952350324058,0.0011940298507462687,1.0,0.0,0.536,0.5,0.6979166666666666,model,train
0.0221997139696819,0.0011940298507462687,1.0,0.008620689655172414,0.54,0.5043103448275862,0.6997389033942559,model,train
0.025002453087865133,0.0011940298507462687,1.0,0.008620689655172414,0.54,0.5043103448275862,0.6997389033942559,model,train
0.025031558645542518,0.0011940298507462687,1.0,0.008620689655172414,0.54,0.5043103448275862,0.6997389033942559,model,train
0.025682145830170366,0.0011940298507462687,1.0,0.008620689655172414,0.54,0.5043103448275862,0.6997389033942559,model,train
0.026144053361580877,0.0011940298507462687,1.0,0.008620689655172414,0.54,0.5043103448275862,0.6997389033942559,model,train
0.02619394542743425,0.0011940298507462687,1.0,0.008620689655172414,0.54,0.5043103448275862,0.6997389033942559,model,train
0.02771466991104332,0.0011940298507462687,1.0,0.008620689655172414,0.54,0.5043103448275862,0.6997389033942559,model,train
0.028179891048479212,0.0011940298507462687,1.0,0.008620689655172414,0.54,0.5043103448275862,0.6997389033942559,model,train
0.029551754787259688,0.0011940298507462687,1.0,0.008620689655172414,0.54,0.5043103448275862,0.6997389033942559,model,train
0.03007069221477776,0.0011940298507462687,1.0,0.008620689655172414,0.54,0.5043103448275862,0.6997389033942559,model,train
0.031152610363220923,0.0011940298507462687,1.0,0.008620689655172414,0.54,0.5043103448275862,0.6997389033942559,model,train
0.031197315324472008,0.0011940298507462687,1.0,0.008620689655172414,0.54,0.5043103448275862,0.6997389033942559,model,train
0.03135481493899084,0.0011940298507462687,1.0,0.008620689655172414,0.54,0.5043103448275862,0.6997389033942559,model,train
0.031615498509713236,0.0011940298507462687,1.0,0.008620689655172414,0.54,0.5043103448275862,0.6997389033942559,model,train
0.032504596306834,0.0011940298507462687,1.0,0.008620689655172414,0.54,0.5043103448275862,0.6997389033942559,model,train
0.03367429201739776,0.0011940298507462687,1.0,0.017241379310344827,0.544,0.5086206896551724,0.7015706806282722,model,train
0.03503349781957113,0.0011940298507462687,1.0,0.034482758620689655,0.552,0.5172413793103449,0.7052631578947368,model,train
0.0354829279988611,0.0011940298507462687,1.0,0.034482758620689655,0.552,0.5172413793103449,0.7052631578947368,model,train
0.03670734726869611,0.0011940298507462687,1.0,0.034482758620689655,0.552,0.5172413793103449,0.7052631578947368,model,train
0.03752644544406358,0.0011940298507462687,1.0,0.034482758620689655,0.552,0.5172413793103449,0.7052631578947368,model,train
0.0375574526675404,0.0011940298507462687,1.0,0.034482758620689655,0.552,0.5172413793103449,0.7052631578947368,model,train
0.0398374324618464,0.0011940298507462687,1.0,0.06896551724137931,0.568,0.5344827586206896,0.7127659574468085,model,train
0.04313176620004957,0.0011940298507462687,1.0,0.07758620689655173,0.572,0.5387931034482759,0.7146666666666667,model,train
0.044619609699719565,0.0011940298507462687,1.0,0.07758620689655173,0.572,0.5387931034482759,0.7146666666666667,model,train
0.04556399396408658,0.0011940298507462687,1.0,0.08620689655172414,0.576,0.5431034482758621,0.7165775401069518,model,train
0.046532123371634704,0.0011940298507462687,1.0,0.08620689655172414,0.576,0.5431034482758621,0.7165775401069518,model,train
0.04689050472090761,0.0011940298507462687,1.0,0.08620689655172414,0.576,0.5431034482758621,0.7165775401069518,model,train
0.04773698795460701,0.0011940298507462687,1.0,0.08620689655172414,0.576,0.5431034482758621,0.7165775401069518,model,train
0.048220736722824675,0.0011940298507462687,1.0,0.08620689655172414,0.576,0.5431034482758621,0.7165775401069518,model,train
0.048344171660795764,0.0011940298507462687,1.0,0.09482758620689655,0.58,0.5474137931034483,0.7184986595174263,model,train
0.04849113332957988,0.0011940298507462687,1.0,0.09482758620689655,0.58,0.5474137931034483,0.7184986595174263,model,train
0.04999705838201374,0.0011940298507462687,1.0,0.09482758620689655,0.58,0.5474137931034483,0.7184986595174263,model,train
0.050551295042639666,0.0011940298507462687,1.0,0.09482758620689655,0.58,0.5474137931034483,0.7184986595174263,model,train
0.051109250475000145,0.0011940298507462687,1.0,0.11206896551724138,0.588,0.5560344827586207,0.7223719676549866,model,train
0.051167089829574935,0.0011940298507462687,1.0,0.11206896551724138,0.588,0.5560344827586207,0.7223719676549866,model,train
0.05477453940479293,0.0011940298507462687,1.0,0.11206896551724138,0.588,0.5560344827586207,0.7223719676549866,model,train
0.05536966614301802,0.0011940298507462687,1.0,0.11206896551724138,0.588,0.5560344827586207,0.7223719676549866,model,train
0.05619603553556951,0.0011940298507462687,1.0,0.1206896551724138,0.592,0.5603448275862069,0.7243243243243244,model,train
0.05626456219781417,0.0011940298507462687,1.0,0.1206896551724138,0.592,0.5603448275862069,0.7243243243243244,model,train
0.05655388147482743,0.0011940298507462687,1.0,0.1206896551724138,0.592,0.5603448275862069,0.7243243243243244,model,train
0.05656070795251855,0.0011940298507462687,1.0,0.1206896551724138,0.592,0.5603448275862069,0.7243243243243244,model,train
0.05674579686683101,0.0011940298507462687,1.0,0.1206896551724138,0.592,0.5603448275862069,0.7243243243243244,model,train
0.05709583280347896,0.0011940298507462687,1.0,0.1206896551724138,0.592,0.5603448275862069,0.7243243243243244,model,train
0.05855453411062328,0.0011940298507462687,1.0,0.1206896551724138,0.592,0.5603448275862069,0.7243243243243244,model,train
0.05857611928177109,0.0011940298507462687,1.0,0.1206896551724138,0.592,0.5603448275862069,0.7243243243243244,model,train
