threshold,avg_det_time,tpr,tnr,acc,bal_acc,f1,method_name,split_name
-0.009925275532295927,0.0,1.0,0.0,0.4954954954954955,0.5,0.6626506024096386,model,train
7.376066059805453e-05,0.0,1.0,0.0,0.4954954954954955,0.5,0.6626506024096386,model,train
0.0001378330875384109,0.0,1.0,0.0,0.4954954954954955,0.5,0.6626506024096386,model,train
0.00016486465551051607,0.0,1.0,0.0,0.4954954954954955,0.5,0.6626506024096386,model,train
0.00018731887838048045,0.0,1.0,0.0,0.4954954954954955,0.5,0.6626506024096386,model,train
0.00021137412501040094,0.0,1.0,0.0,0.4954954954954955,0.5,0.6626506024096386,model,train
0.00023727851045190327,0.0,1.0,0.0,0.4954954954954955,0.5,0.6626506024096386,model,train
0.0002695459043594962,0.0,1.0,0.0,0.4954954954954955,0.5,0.6626506024096386,model,train
0.0002978288213713573,0.0,1.0,0.0,0.4954954954954955,0.5,0.6626506024096386,model,train
0.0003299904982378858,0.0,1.0,0.0,0.4954954954954955,0.5,0.6626506024096386,model,train
0.0003646579212253273,0.0,1.0,0.0,0.4954954954954955,0.5,0.6626506024096386,model,train
0.00039171377895031063,0.0,1.0,0.0,0.4954954954954955,0.5,0.6626506024096386,model,train
0.0004228779460004071,0.0,1.0,0.0,0.4954954954954955,0.5,0.6626506024096386,model,train
0.0004578384745157668,0.0,1.0,0.0,0.4954954954954955,0.5,0.6626506024096386,model,train
0.0004995816791307,0.0,1.0,0.0,0.4954954954954955,0.5,0.6626506024096386,model,train
0.0005463018714836527,0.0,1.0,0.0,0.4954954954954955,0.5,0.6626506024096386,model,train
0.0005909894584833639,0.0,1.0,0.0,0.4954954954954955,0.5,0.6626506024096386,model,train
0.0006392435332924696,0.0,1.0,0.0,0.4954954954954955,0.5,0.6626506024096386,model,train
0.0007020617354297393,0.0,1.0,0.0,0.4954954954954955,0.5,0.6626506024096386,model,train
0.0007628621655884388,0.0,1.0,0.0,0.4954954954954955,0.5,0.6626506024096386,model,train
0.0008279739964724163,0.0,1.0,0.0,0.4954954954954955,0.5,0.6626506024096386,model,train
0.0008930961198070603,0.0,1.0,0.0,0.4954954954954955,0.5,0.6626506024096386,model,train
