threshold,avg_det_time,tpr,tnr,acc,bal_acc,f1,method_name,split_name
-0.009996563476115626,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
3.390628307897714e-06,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
5.22132691162778e-06,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
5.811402601519511e-06,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
6.26633482928455e-06,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
6.657772831226251e-06,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
7.095615777452316e-06,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
7.610437674517394e-06,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
8.115510906325482e-06,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
8.60021557026358e-06,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
9.146241396117627e-06,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
9.774885923572304e-06,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
1.0394953573365739e-05,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
1.1126987310534794e-05,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
1.1780703890692343e-05,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
1.2595402440631772e-05,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
1.3416315284688909e-05,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
1.4298070352950156e-05,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
1.5362019002012928e-05,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
1.663827013407096e-05,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
1.7877737467434747e-05,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
1.9621189990898652e-05,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
2.1414408962921615e-05,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
2.365118901182594e-05,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
2.606392979380731e-05,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
2.8938904657349395e-05,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
3.247222820906533e-05,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
3.661487126979732e-05,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
4.193340787583839e-05,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
4.706347185123469e-05,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
5.396697163345693e-05,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
6.373219325601245e-05,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
7.619158222487259e-05,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
8.977374670874968e-05,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
0.00010979398159840752,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
0.00013324636511208507,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
0.00016654781276037242,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
0.0002167489098984662,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
0.0002804055966323231,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
0.000364805782085076,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
0.0004984622818413403,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
0.0007567943508115072,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
0.0012474829922509566,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
0.002613658053769655,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
0.005668573399330494,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
0.01850536543994537,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
0.06315503702190016,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
0.08482567840560451,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
0.09351197988445037,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
0.09456108387277729,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
0.1045856375952674,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
0.10533425359665305,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
0.12075414284783026,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
0.12139950172662983,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
0.12438129980328894,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
0.12680648990988974,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
0.12811821820834268,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
0.13067383012971145,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
0.13072884496434423,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
0.13271015386794982,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
0.13475294468046517,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
0.1364424752858735,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
0.14458082632958025,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
0.1450951673498997,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
0.14562889469195728,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
0.14626926915521388,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
0.14736034207142357,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
0.15151379817417698,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
0.1530378968472741,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
0.15314484199032918,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
0.15489504984563585,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
0.1564041854373839,0.0,1.0,0.0,0.5101123595505618,0.5,0.6755952380952381,model,train
